text,label
g i ả n g _ v i ê n   v u i _ v ẻ   h o à _ đ ồ n g   .,0
í t   l u y ệ n   k ỹ _ n ă n g   n ó i   .,1
g i ả n g _ v i ê n   c h o   q u á   n h i ề u   b à i _ t ậ p   n h ư n g   l ạ i   í t   h ư ớ n g _ d ẫ n   v à   g i ả i   .,0
"e m   h i _ v ọ n g   t h ầ y   c ó _ t h ể   c u n g _ c ấ p   t à i _ l i ệ u   h ọ c _ t ậ p   m ộ t _ c á c h   đ ầ y _ đ ủ   ,   v ì   t r ê n   s l i d e   e m   t h ấ y   c ò n   h ạ n _ c h ế   v ề   k i ế n _ t h ứ c   v à   q u á   t ó m _ t ắ t   .",0
"c ô   n h i ệ t _ t ì n h   v à   đ ư a   r a   b à i   g i ả n g   h ợ p _ l ý   ,   d ễ   h i ể u   ,   c ó _ t h ể   v ậ n _ d ụ n g   l à m   b à i   .",0
g i ả n g _ v i ê n   c h ủ _ đ ộ n g   .,0
"c ầ n   c ó   n h i ề u   t à i _ l i ệ u   đ ể   h ọ c   h ơ n   ,   c ó   c á c   t r ò _ c h ơ i   đ ể   s i n h _ v i ê n   d ễ   h i ể u   b à i   h ơ n   .",1
e m   m u ố n   đ ư ợ c   h i ể u   r õ   n h ữ n g   ứ n g _ d ụ n g   c ủ a   m ô n _ h ọ c   n à y   v à o   n g à n h   h ọ c   m à   c h ú n g _ t a   đ a n g   h ọ c   l à   g ì   .,1
g i á o _ v i ê n   n h i ệ t _ t ì n h   v ớ i   l ớ p _ h ọ c   .,0
"g i ả n g _ v i ê n   n h i ệ t _ t ì n h   ,   h o ạ t _ đ ộ n g   s ô i _ n ổ i   .",0
c ô   k h ô n g   c u n g _ c ấ p   đ á p _ á n   c ủ a   b à i _ t ậ p   .,0
c á c h   t r u y ề n _ đ ạ t   c h ư a   t h ự c _ s ự   h i ệ u _ q u ả   .,0
á p _ d ụ n g   .,1
"t i ế t   h ọ c   r ấ t   v u i _ n h ộ n   ,   t ă n g   t h ê m   t i n h _ t h ầ n   đ i   h ọ c   c h o   s i n h _ v i ê n   .",1
"t h ầ y   g i ả n g   b à i   d ễ   h i ể u   ,   n h i ệ t _ t ì n h   .",0
